desc_entidad,indicador,year_amount
Nacional,Delitos denunciados,3599276
Aguascalientes,Delitos denunciados,36060
Baja California,Delitos denunciados,199404
Baja California Sur,Delitos denunciados,28452
Campeche,Delitos denunciados,27685
Coahuila de Zaragoza,Delitos denunciados,60968
Colima,Delitos denunciados,23198
Chiapas,Delitos denunciados,67931
Chihuahua,Delitos denunciados,77893
Ciudad de M‚xico,Delitos denunciados,440006
Durango,Delitos denunciados,37924
Guanajuato,Delitos denunciados,141777
Guerrero,Delitos denunciados,54609
Hidalgo,Delitos denunciados,76140
Jalisco,Delitos denunciados,209921
M‚xico,Delitos denunciados,846503
Michoac n de Ocampo,Delitos denunciados,88383
Morelos,Delitos denunciados,62348
Nayarit,Delitos denunciados,28517
Nuevo Le¢n,Delitos denunciados,114036
Oaxaca,Delitos denunciados,79567
Puebla,Delitos denunciados,158312
Quer‚taro,Delitos denunciados,65015
Quintana Roo,Delitos denunciados,52920
San Luis Potos¡,Delitos denunciados,47757
Sinaloa,Delitos denunciados,69547
Sonora,Delitos denunciados,86624
Tabasco,Delitos denunciados,56831
Tamaulipas,Delitos denunciados,90985
Tlaxcala,Delitos denunciados,40054
Veracruz de Ignacio de la Llave,Delitos denunciados,156108
Yucat n,Delitos denunciados,43569
Zacatecas,Delitos denunciados,30232
